"","USPS","date","incidD","state"
"310","AK",2020-11-26,2,"Alaska"
"311","AK",2020-11-27,0,"Alaska"
"312","AK",2020-11-28,2,"Alaska"
"313","AK",2020-11-29,0,"Alaska"
"314","AK",2020-11-30,0,"Alaska"
"315","AK",2020-12-01,1,"Alaska"
"316","AK",2020-12-02,0,"Alaska"
"317","AK",2020-12-03,8,"Alaska"
"318","AK",2020-12-04,11,"Alaska"
"319","AK",2020-12-05,1,"Alaska"
"320","AK",2020-12-06,0,"Alaska"
"321","AK",2020-12-07,3,"Alaska"
"322","AK",2020-12-08,0,"Alaska"
"323","AK",2020-12-09,4,"Alaska"
"324","AK",2020-12-10,5,"Alaska"
"325","AK",2020-12-11,4,"Alaska"
"326","AK",2020-12-12,16,"Alaska"
"327","AK",2020-12-13,0,"Alaska"
"328","AK",2020-12-14,0,"Alaska"
"329","AK",2020-12-15,3,"Alaska"
"330","AK",2020-12-16,2,"Alaska"
"331","AK",2020-12-17,2,"Alaska"
"332","AK",2020-12-18,0,"Alaska"
"333","AK",2020-12-19,1,"Alaska"
"334","AK",2020-12-20,0,"Alaska"
"335","AK",2020-12-21,0,"Alaska"
"336","AK",2020-12-22,10,"Alaska"
"337","AK",2020-12-23,3,"Alaska"
"338","AK",2020-12-24,2,"Alaska"
"339","AK",2020-12-25,0,"Alaska"
"340","AK",2020-12-26,2,"Alaska"
"341","AK",2020-12-27,0,"Alaska"
"342","AK",2020-12-28,0,"Alaska"
"343","AK",2020-12-29,1,"Alaska"
"344","AK",2020-12-30,2,"Alaska"
"345","AK",2020-12-31,3,"Alaska"
"346","AK",2021-01-01,0,"Alaska"
"347","AK",2021-01-02,9,"Alaska"
"348","AK",2021-01-03,0,"Alaska"
"349","AK",2021-01-04,3,"Alaska"
"350","AK",2021-01-05,0,"Alaska"
"351","AK",2021-01-06,2,"Alaska"
"352","AK",2021-01-07,3,"Alaska"
"353","AK",2021-01-08,0,"Alaska"
"354","AK",2021-01-09,1,"Alaska"
"355","AK",2021-01-10,0,"Alaska"
"356","AK",2021-01-11,0,"Alaska"
"357","AK",2021-01-12,1,"Alaska"
"358","AK",2021-01-13,1,"Alaska"
"359","AK",2021-01-14,2,"Alaska"
"360","AK",2021-01-15,1,"Alaska"
"361","AK",2021-01-16,0,"Alaska"
"362","AK",2021-01-17,0,"Alaska"
"363","AK",2021-01-18,0,"Alaska"
"364","AK",2021-01-19,1,"Alaska"
"365","AK",2021-01-20,23,"Alaska"
"366","AK",2021-01-21,1,"Alaska"
"367","AK",2021-01-22,0,"Alaska"
"368","AK",2021-01-23,5,"Alaska"
"369","AK",2021-01-24,0,"Alaska"
"370","AK",2021-01-25,0,"Alaska"
"371","AK",2021-01-26,1,"Alaska"
"372","AK",2021-01-27,1,"Alaska"
"373","AK",2021-01-28,1,"Alaska"
"374","AK",2021-01-29,0,"Alaska"
"375","AK",2021-01-30,0,"Alaska"
"376","AK",2021-01-31,0,"Alaska"
"377","AK",2021-02-01,0,"Alaska"
"378","AK",2021-02-02,17,"Alaska"
"379","AK",2021-02-03,0,"Alaska"
"380","AK",2021-02-04,0,"Alaska"
"381","AK",2021-02-05,0,"Alaska"
"382","AK",2021-02-06,0,"Alaska"
"383","AK",2021-02-07,0,"Alaska"
"384","AK",2021-02-08,0,"Alaska"
"385","AK",2021-02-09,1,"Alaska"
"386","AK",2021-02-10,0,"Alaska"
"387","AK",2021-02-11,0,"Alaska"
"388","AK",2021-02-12,2,"Alaska"
"389","AK",2021-02-13,0,"Alaska"
"390","AK",2021-02-14,0,"Alaska"
"391","AK",2021-02-15,0,"Alaska"
"392","AK",2021-02-16,5,"Alaska"
"393","AK",2021-02-17,1,"Alaska"
"394","AK",2021-02-18,0,"Alaska"
