start_date,date,incidD,state,USPS,source,datew
2022-04-10,2022-04-16,NA,Alaska,AK,cdc,NA
2022-04-17,2022-04-23,NA,Alaska,AK,cdc,NA
2022-04-24,2022-04-30,NA,Alaska,AK,cdc,NA
2022-05-01,2022-05-07,NA,Alaska,AK,cdc,NA
2022-05-08,2022-05-14,NA,Alaska,AK,cdc,NA
2022-05-15,2022-05-21,NA,Alaska,AK,cdc,NA
2022-05-22,2022-05-28,NA,Alaska,AK,cdc,NA
2022-05-29,2022-06-04,NA,Alaska,AK,cdc,NA
2022-06-05,2022-06-11,NA,Alaska,AK,cdc,NA
2022-06-12,2022-06-18,NA,Alaska,AK,cdc,NA
2022-06-19,2022-06-25,NA,Alaska,AK,cdc,NA
2022-06-26,2022-07-02,NA,Alaska,AK,cdc,NA
2022-07-03,2022-07-09,NA,Alaska,AK,cdc,NA
2022-07-10,2022-07-16,NA,Alaska,AK,cdc,NA
2022-07-17,2022-07-23,NA,Alaska,AK,cdc,NA
2022-07-24,2022-07-30,NA,Alaska,AK,cdc,NA
2022-07-31,2022-08-06,NA,Alaska,AK,cdc,NA
2022-08-07,2022-08-13,NA,Alaska,AK,cdc,NA
2022-08-14,2022-08-20,NA,Alaska,AK,cdc,NA
2022-08-21,2022-08-27,NA,Alaska,AK,cdc,NA
2022-08-28,2022-09-03,NA,Alaska,AK,cdc,NA
2022-09-04,2022-09-10,NA,Alaska,AK,cdc,NA
2022-09-11,2022-09-17,NA,Alaska,AK,cdc,NA
2022-09-18,2022-09-24,NA,Alaska,AK,cdc,NA
2022-09-25,2022-10-01,NA,Alaska,AK,cdc,NA
2022-10-02,2022-10-08,NA,Alaska,AK,cdc,NA
2022-10-09,2022-10-15,NA,Alaska,AK,cdc,NA
2022-10-16,2022-10-22,NA,Alaska,AK,cdc,NA
2022-10-23,2022-10-29,NA,Alaska,AK,cdc,NA
2022-10-30,2022-11-05,NA,Alaska,AK,cdc,NA
2022-11-06,2022-11-12,0,Alaska,AK,cdc,NA
2022-11-13,2022-11-19,NA,Alaska,AK,cdc,NA
2022-11-20,2022-11-26,NA,Alaska,AK,cdc,NA
2022-11-27,2022-12-03,0,Alaska,AK,cdc,NA
2022-12-04,2022-12-10,0,Alaska,AK,cdc,NA
2022-12-11,2022-12-17,0,Alaska,AK,cdc,NA
2022-12-18,2022-12-24,0,Alaska,AK,cdc,NA
2022-12-25,2022-12-31,0,Alaska,AK,cdc,NA
2019-12-29,2020-01-04,0,Arizona,AZ,cdc,NA
2020-01-05,2020-01-11,0,Arizona,AZ,cdc,NA
2020-01-12,2020-01-18,0,Arizona,AZ,cdc,NA
2020-01-19,2020-01-25,0,Arizona,AZ,cdc,NA
2020-01-26,2020-02-01,0,Arizona,AZ,cdc,NA
2020-02-02,2020-02-08,0,Arizona,AZ,cdc,NA
2020-02-09,2020-02-15,0,Arizona,AZ,cdc,NA
2020-02-16,2020-02-22,0,Arizona,AZ,cdc,NA
2020-02-23,2020-02-29,0,Arizona,AZ,cdc,NA
2020-03-01,2020-03-07,0,Arizona,AZ,cdc,NA
2020-03-08,2020-03-14,NA,Arizona,AZ,cdc,NA
2020-03-15,2020-03-21,NA,Arizona,AZ,cdc,NA
2020-03-22,2020-03-28,31,Arizona,AZ,cdc,NA
2020-03-29,2020-04-04,58,Arizona,AZ,cdc,NA
2020-04-05,2020-04-11,91,Arizona,AZ,cdc,NA
2020-04-12,2020-04-18,96,Arizona,AZ,cdc,NA
2020-04-19,2020-04-25,106,Arizona,AZ,cdc,NA
2020-04-26,2020-05-02,106,Arizona,AZ,cdc,NA
2020-05-03,2020-05-09,126,Arizona,AZ,cdc,NA
2020-05-10,2020-05-16,118,Arizona,AZ,cdc,NA
