state,USPS,datew,incidD,date,out,no,back_date
Arizona,AZ,7/18/2020,579,7/18/2020,0,,
Arizona,AZ,7/25/2020,556,7/25/2020,0,,
Arizona,AZ,8/1/2020,463,8/1/2020,0,,
Arizona,AZ,8/8/2020,390,8/8/2020,0,,
Arizona,AZ,8/15/2020,355,8/15/2020,0,,
Arizona,AZ,8/22/2020,264,8/22/2020,0,,
Arizona,AZ,8/29/2020,251,8/29/2020,0,,
Arizona,AZ,9/5/2020,202,9/5/2020,0,,
Arizona,AZ,9/12/2020,112,9/12/2020,0,,
Arizona,AZ,9/19/2020,152,9/19/2020,0,,
Arizona,AZ,9/26/2020,155,9/26/2020,0,,
Arizona,AZ,10/3/2020,83,10/3/2020,0,,
Arizona,AZ,10/10/2020,54,10/10/2020,0,,
Arizona,AZ,10/17/2020,65,10/17/2020,0,,
Arizona,AZ,10/24/2020,45,10/24/2020,0,,
Arizona,AZ,10/31/2020,110,10/31/2020,0,,
Arizona,AZ,11/7/2020,168,11/7/2020,0,,
Arizona,AZ,11/14/2020,153,11/14/2020,0,,
Arizona,AZ,11/21/2020,157,11/21/2020,0,,
Arizona,AZ,11/28/2020,167,11/28/2020,0,,
Arizona,AZ,12/5/2020,301,12/5/2020,0,,
Arizona,AZ,12/12/2020,397,12/12/2020,0,,
Arizona,AZ,12/19/2020,615,12/19/2020,0,,
Arizona,AZ,12/26/2020,487,12/26/2020,0,,
Arizona,AZ,1/2/2021,637,1/2/2021,0,,
Arizona,AZ,1/9/2021,975,1/9/2021,0,,
Arizona,AZ,1/16/2021,1212,1/16/2021,0,,
Arizona,AZ,1/23/2021,924,1/23/2021,0,,
Arizona,AZ,1/30/2021,928,1/30/2021,0,,
Arizona,AZ,2/6/2021,913,2/6/2021,0,,
Arizona,AZ,2/13/2021,937,2/13/2021,0,,
Arizona,AZ,2/20/2021,532,2/20/2021,0,,
Arizona,AZ,2/27/2021,493,2/27/2021,0,,
Arizona,AZ,3/6/2021,358,3/6/2021,0,,
Arizona,AZ,3/13/2021,227,3/13/2021,0,,
Arizona,AZ,3/20/2021,187,3/20/2021,0,,
Arizona,AZ,3/27/2021,179,3/27/2021,0,,
Arizona,AZ,4/3/2021,79,4/3/2021,0,,
Arizona,AZ,4/10/2021,103,4/10/2021,0,,
Arizona,AZ,4/17/2021,75,4/17/2021,0,,
Arizona,AZ,4/24/2021,109,4/24/2021,0,,
Arizona,AZ,5/1/2021,78,5/1/2021,0,,
Arizona,AZ,5/8/2021,69,5/8/2021,0,,
Arizona,AZ,5/15/2021,52,5/15/2021,0,,
Arizona,AZ,5/22/2021,88,5/22/2021,0,,
Arizona,AZ,5/29/2021,81,5/29/2021,0,,
Arizona,AZ,6/5/2021,70,6/5/2021,0,,
Arizona,AZ,6/12/2021,67,6/12/2021,0,,
Arizona,AZ,6/19/2021,77,6/19/2021,0,,
Arizona,AZ,6/26/2021,76,6/26/2021,0,,
Arizona,AZ,7/3/2021,63,7/3/2021,0,,
Arizona,AZ,7/10/2021,56,7/10/2021,0,,
Arizona,AZ,7/17/2021,71,7/17/2021,0,,
Arizona,AZ,7/24/2021,70,7/24/2021,0,,
